"s","p","o"
"http://example.org/stix-uco/attack-pattern--19da6e1c-71ab-4c2f-886d-d620d09d3b5a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/action/ActionPattern"
"http://example.org/stix-uco/attack-pattern--8ac90ff3-ecf8-4835-95b8-6aea6a623df5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/action/ActionPattern"
"http://example.org/stix-uco/attack-pattern--f6050ea6-a9a3-4524-93ed-c27858d6cb3c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/action/ActionPattern"
"http://example.org/stix-uco/bundle--0ecd8123-90d5-46e0-9cd4-65d4999b3a2e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--1affa123-0a4f-4fc5-81c6-fc1b058f9e44","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--2a25c3c8-5d88-4ae9-862a-cc3396442317","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--2ac7882f-76a3-4a9b-97b3-811b3af1c7c0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--56be2a3b-1534-4bef-8fe9-602926274089","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--601cee35-6b16-4e68-a3e7-9ec7d755b4c3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--dbe491fe-6faf-4125-b019-d8938bc0294d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/bundle--f0af3c36-a642-4cb0-8526-b4ca899cc1db","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Bundle"
"http://example.org/stix-uco/campaign--1d8897a7-fdc2-4e59-afc9-becbe04df727","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Event"
"http://example.org/stix-uco/campaign--e5268b6e-4931-42f1-b379-87f48eb41b1e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Event"
"http://example.org/stix-uco/observed-data--a0d34360-66ad-4977-b255-d9e1080421c4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Event"
"http://example.org/stix-uco/observed-data--cf8eaa41-6f4c-482e-89b9-9cd2d6a83cb1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Event"
"http://example.org/stix-uco/marking-definition--d81f86b9-975b-4c0b-875e-810c5ad45a4f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/MarkingDefinitionAbstraction"
"http://example.org/stix-uco/marking-definition--f88d31f6-486f-44da-b317-01333bde0b82","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/MarkingDefinitionAbstraction"
"http://example.org/stix-uco/identity--1621d4d4-b67d-41e3-9670-f01faf20d111","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--39012926-a052-44c4-ae48-caaf4a10ee6e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--5206ba14-478f-4b0b-9a48-395f690c20a2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--611d9d41-dba5-4e13-9b29-e22488058ffc","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--733c5838-34d9-4fbf-949c-62aba761184c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--7865b6d2-a4af-45c5-b582-afe5ec376c33","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--8c6af861-7b20-41ef-9b59-6344fd872a8f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--987eeee1-413a-44ac-96cc-0a8acdcc2f2c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--b38dfe21-7477-40d1-aa90-5c8671ce51ca","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--ddfe7140-2ba4-48e4-b19a-df069432103b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/intrusion-set--ed69450a-f067-4b51-9ba2-c4616b9a6713","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Identity"
"http://example.org/stix-uco/identity--39012926-a052-44c4-ae48-caaf4a10ee6e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--5206ba14-478f-4b0b-9a48-395f690c20a2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--611d9d41-dba5-4e13-9b29-e22488058ffc","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--733c5838-34d9-4fbf-949c-62aba761184c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--7865b6d2-a4af-45c5-b582-afe5ec376c33","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--8c6af861-7b20-41ef-9b59-6344fd872a8f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--987eeee1-413a-44ac-96cc-0a8acdcc2f2c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--b38dfe21-7477-40d1-aa90-5c8671ce51ca","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/identity--ddfe7140-2ba4-48e4-b19a-df069432103b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/threat-actor--56f3f0db-b5d5-431c-ae56-c18f02caf500","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/threat-actor--8b6297fe-cae7-47c6-9256-5584b417849c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
